block_timestamp,transaction_hash,block_number,transaction_index,log_index,gas_price_eth,trx_initiator,wallet,token_name,token0_in,token1_in,token0_out,token1_out,value
38:59.0,0x7d3b6f2b4b05d0c219f140a12716370e54f7981c82bf86955d3b98f900f2b9a2,16272262,116,297,0.001815719,0x16947cf5bff30f01c528538a89799627645f06bb,0x1111111254eeb25477b68fb85ed929f73a960582,Swap,31.462957,,,27.08808623,58.55104323
23:59.0,0xcb78f4966ee328bc63de04ff4765bbe510dbe5364555dad2b86f343266cc1b77,16265623,55,110,0.002608772,0xa4b1fbf5d7c7ddfbad014cc05a46995f21d8b9d1,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,117.901005,,,102.9637491,220.8647541
12:35.0,0x22927befe9b2412f27cd2284e9ba137d76639946103a32cd31e89423cd788ba8,16266461,76,152,0.003660607,0x9a302eb0df3b8e53213813b0c2fd81f4d8795928,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,6406.940596,,,5583.018121,11989.95872
32:59.0,0x8e012909feb426bf208a45f197c3215c00073e716e0fd66c305aaccabcf7377d,16142700,2,9,0.003167547,0x4e27eacc66030fa6fa2cd1016c45ae9adcb6097c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,8952.301844,,,7051.416697,16003.71854
54:59.0,0x4dda337c7dbcd5ab5ca19f2faae9971463363bd14fae43ab6f4b2eace68f9af8,16142511,5,40,0.004057249,0xf546acba4e1ce9e0d092c75887fb2b2e4c7c13cd,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,638.027812,,,537.29867,1175.326482
07:59.0,0x60fe2f0df4a18b0d734b4212b03d99e22ab0810e8c2302634bdf0484624c5b5c,16142276,1,8,0.003077702,0xfd36a5dc09d22d770dfa6093610b80295614bc79,0x0000e0ca771e21bd00057f54a68c30d400000000,Swap,,5881.788678,12330.18452,,18211.97319
06:11.0,0xaec4db7fed1b1081e3365ac0febb21b349a0eae9c2c1ee26ff923855c4222472,16204605,109,238,0.004433934,0x66b5fc478feb3083f7fc3d77b668e698ded346cc,0xc36442b4a4522e871399cd717abdd847ab11fe88,Increase liquidity,823.629495,1736.805999,,,2560.435494
37:47.0,0x7807fe52329a771a1707bbaaa6d066f3134e158a190049a231057d071d2ff748,16142126,185,472,0.105096964,0xfe2321d7dfa492dfc39330e8b85e7c49161e7f98,0xc36442b4a4522e871399cd717abdd847ab11fe88,Initialize,,,,,0
43:59.0,0x01f9537f682203758c07ea136a0c5f05d2c8f4b8e94e2685cc34661204b395c7,16480930,56,98,0.002869274,0x995b541b832f54743f6a207ec548c7370e538c87,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,1.981611,2.294357653,4.275968653
43:59.0,0x01f9537f682203758c07ea136a0c5f05d2c8f4b8e94e2685cc34661204b395c7,16480930,56,95,0.002869274,0x995b541b832f54743f6a207ec548c7370e538c87,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,0,0,0
24:11.0,0xdc082f6b9b56421357cda4ec10930101011d079c0e181fe3203c525f2533f028,16481430,67,148,0.002910106,0xe9fcb29890572e5e02ac4893b7e1771740607d24,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,37115.33893,31968.87084,69084.20977
24:11.0,0xdc082f6b9b56421357cda4ec10930101011d079c0e181fe3203c525f2533f028,16481430,67,144,0.002910106,0xe9fcb29890572e5e02ac4893b7e1771740607d24,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,37003.53072,31832.54144,68836.07216
19:11.0,0xa483a089e4786a579fbd2970a8328997d33908703bd7d5241c590bcf2889443a,16155453,238,336,0.003618571,0xc18ee6bf19aeccbc5985f68a4f10f4cb2d2bcb51,0x1111111254eeb25477b68fb85ed929f73a960582,Swap,49.13611,,,40.35662676,89.49273676
29:59.0,0xd2cf776971cf8538f90dc61c71338435727f9d2ff851fd1029ca43001f54e3f3,16153414,99,191,0.002827305,0xfc3a7ca9b00ce73f91db154ded5e8e84cb712d07,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,1.828406,,,1.5,3.328406
08:11.0,0x98a934baae3b5df0931919d410d840f3962f5dd6e007f62d598bc251231b4494,16514462,208,455,0.005343748,0x9595eeaf82907ce461842e533427336d27484a0a,0xdef1c0ded9bec7f1a1670819833240f027b25eff,Swap,1962.1318,,,1710.547994,3672.679794
39:23.0,0x4a5c49d56da26a8ac0774db9bbfff89fdc872bf5ca86a18b39c98552aed14591,16442694,43,112,0.004533603,0xdb6481532724bccb678b602e7d4f558a165bd959,0xc3a947372191453dd9db02b0852d378dccbdf271,Collect,,,892.008594,748.0297,1640.038294
39:23.0,0x4a5c49d56da26a8ac0774db9bbfff89fdc872bf5ca86a18b39c98552aed14591,16442694,43,109,0.004533603,0xdb6481532724bccb678b602e7d4f558a165bd959,0xc3a947372191453dd9db02b0852d378dccbdf271,Burn (Remove),,,0,0,0
01:35.0,0x35e10aa037a82ffeb2e79a90ba9a9cc376c5080d1d856a937a919f989149df51,16358952,66,223,0.004580461,0x970048ba62de979f81eb93da355bc64f94c33410,0xdef1c0ded9bec7f1a1670819833240f027b25eff,Swap,1228.778937,,,1046.663396,2275.442333
27:47.0,0x5adc162661fbb58d4986c695b8f1e32f74e5bf9fa57cccd1f08f238da4a95776,16452191,71,113,0.00349993,0x2e1bc84c41dcfb1c8796df320af1e0e716dbe506,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Swap,1488.997812,,,1310,2798.997812
03:23.0,0xc57c4ba592a520b936bc0e6e6c52db3cbeda544204e3bcadde5606648af419ca,16497729,106,253,0.003392789,0x1bebf0e2c487bf6db1703145f0bba42f528d48cd,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Swap,100.077172,,,87.1003474,187.1775194
39:59.0,0x0ab2be0638f5760fb72095cf0a878e374bbc51c2f47c087306e3dcefe7bd15d8,16263309,29,72,0.003074394,0x36d6bdac809826355078bb9b1cd0701faf1f2729,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,15.005771,,,13.10519785,28.11096885
41:23.0,0x4b7ec6858c518e57f3ad0ed5f0dcd71e8f717d9d718442cef0fa4a6035949372,16477330,129,179,0.006471896,0x14bdfda5b5b829f14332a52c15129386284ce36a,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,457.925039,3753.160374,4211.085413
41:23.0,0x4b7ec6858c518e57f3ad0ed5f0dcd71e8f717d9d718442cef0fa4a6035949372,16477330,129,183,0.006471896,0x14bdfda5b5b829f14332a52c15129386284ce36a,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,484.978052,3780.472908,4265.45096
09:35.0,0x78ce8a8cbc4e509a2adda4b3f9aba38002f6ee710a870fbe4ebcbe0b7b27f537,16473292,82,271,0.002931313,0x47e081aacd7e2b97a1e72017def772f2cdd1f73c,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Swap,50,,,43.85651322,93.85651322
